GROUP,CUST,MAKER,VENDOR_ID,STYLE,IE,CPO,EXP_DATE,COLOR_CODE,SIZE_CODE,CPO_QTY,ACC_QTY,CUTTING,SEWING,RECEIVING,PACKING,OE_FOLDERID,SHIP_CPO_ID,ERP_COLOR_ID,ERP_SIZE_ID,create_time
202609,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,XS,674,674,674,674,674,674,4732050,2312697,509177,789412,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,L,909,909,909,909,909,909,4732050,2312697,509177,789413,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,XXS,17,17,17,17,17,17,4732050,2312697,509177,789414,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,XXL,24,24,24,24,24,24,4732050,2312697,509177,789415,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,S,1804,1804,1804,1804,1804,1804,4732050,2312697,509177,789416,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,M,1828,1828,1828,1828,1828,1828,4732050,2312697,509177,789417,8/13/2026 2:35:00 AM
202609,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,XL,288,288,288,288,288,288,4732050,2312697,509177,789418,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,XS,982,982,982,982,982,982,4732050,2312698,509178,789412,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,L,1281,1281,1281,1281,1281,1281,4732050,2312698,509178,789413,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,XXS,35,35,35,35,35,35,4732050,2312698,509178,789414,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,XXL,35,35,35,35,35,35,4732050,2312698,509178,789415,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,S,2788,2788,2788,2788,2788,2788,4732050,2312698,509178,789416,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,M,2777,2777,2777,2777,2777,2777,4732050,2312698,509178,789417,8/13/2026 2:35:00 AM
202608,BYY,GLD1,79965, 007JV_H26,0.8700, 2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,XL,406,406,406,406,406,406,4732050,2312698,509178,789418,8/13/2026 2:35:00 AM
