GROUP,CUST,MAKER,STYLE,IE,CPO,EXP_DATE,COLOR_CODE,CPO_QTY,CUTTING,SEWING,RECEIVING,PACKING
202609,BYY,GLD1,007JV_H26,0.8700,2100220850,9/11/2026 12:00:00 AM,BLUE TUNDRA HEATHER/SILVER MIST,5544,5544,5544,5544,5544
202608,BYY,GLD1,007JV_H26,0.8700,2100220851,8/11/2026 12:00:00 AM,DARKEST NIGHT/CLOUD WHITE,8304,8304,8304,8304,8304
202609,BYY,GLD1,007JV_H26,0.8700,2100220853,9/11/2026 12:00:00 AM,MOUNTAIN GREEN/CLOUD WHITE,3846,3846,3846,3846,3846
202610,BYY,GLD1,007JV_H26,0.8700,2100220849,10/10/2026 12:00:00 AM,POP PINK HEATHER/CLOUD WHITE,2370,2370,2370,2370,2370
202608,BYY,GLD1,007JV_H26,0.8700,2100220852,8/11/2026 12:00:00 AM,SILVER MIST/CLOUD WHITE,5318,5318,5318,5318,5318
202608,BYY,GLD1,00AC4_H26,1.7500,2100220842,8/11/2026 12:00:00 AM,DARKEST NIGHT,530,530,530,530,530
202610,BYY,GLD1,00AC4_H26,1.7500,2100220843,10/10/2026 12:00:00 AM,POP PINK HEATHER,615,615,615,615,615
202608,BYY,GLD1,00AC4_H26,1.7500,2100220844,8/11/2026 12:00:00 AM,SCARLET RED HEATHER,500,500,500,500,500
202611,BYY,GLD1,00AC4_S27,1.7500,2100244898,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,687,0,0,0,0
202611,BYY,GLD1,00AC4_S27,1.7500,2100244897,11/9/2026 12:00:00 AM,SILVER MIST BY,813,0,0,0,0
202608,BYY,GLD1,00AC5_H26,2.2500,2100220845,8/10/2026 12:00:00 AM,BLUE TUNDRA HEATHER,1650,1650,1650,1650,1650
202608,BYY,GLD1,00AC5_H26,2.2500,2100220848,8/10/2026 12:00:00 AM,NOCTURNAL NAVY,501,501,501,501,501
202608,BYY,GLD1,00AC5_H26,2.2500,2100220846,8/10/2026 12:00:00 AM,DARKEST NIGHT,1133,1133,1133,1133,1133
202609,BYY,GLD1,00AC5_H26,2.2500,2100220847,9/10/2026 12:00:00 AM,MOUNTAIN GREEN HEATHER,500,500,500,499,449
202611,BYY,GLD1,00AC5_S27,2.2500,2100240860,11/9/2026 12:00:00 AM,SILVER MIST BY,502,0,0,0,0
202611,BYY,GLD1,00AC5_S27,2.2500,2100240858,11/9/2026 12:00:00 AM,DARKEST NIGHT BY,500,0,0,0,0
202611,BYY,GLD1,00AC5_S27,2.2500,2100240857,11/9/2026 12:00:00 AM,NOCTURNAL NAVY BY,500,0,0,0,0
202611,BYY,GLD1,00AC5_S27,2.2500,2100240859,11/9/2026 12:00:00 AM,CLOUD WHITE BY,503,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,9500007857,10/20/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,275,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,072903,10/22/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,1611,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,9500007856,10/22/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,174,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,2100241100,10/22/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,527,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,1000654996,10/29/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,1662,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,1000654997,10/29/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,268,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,1000658372,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,992,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,2100245983,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,684,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,2100248515,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,1340,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,2100248524,11/19/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,312,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,1000662266,11/26/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,6303,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,2100251281,11/26/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,825,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,1000662267,11/26/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,519,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,1000662268,12/3/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,300,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,2100251084,12/3/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,270,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,2100251133,12/3/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,520,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,2100251255,12/3/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,330,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,1203_ZA,12/3/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,222,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,1000662269,12/31/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,615,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,2100258958,12/31/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,942,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,2100257993,12/31/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,370,0,0,0,0
202701,LVS,GLD5,00AD0_H127,1.1200,1000662271,1/28/2027 12:00:00 AM,0001 ANNELIESEDITSY EGRET,3290,0,0,0,0
202701,LVS,GLD5,00AD0_H127,1.1200,2100256222,1/28/2027 12:00:00 AM,0001 ANNELIESEDITSY EGRET,258,0,0,0,0
202701,LVS,GLD5,00AD0_H127,1.1200,2100257985,1/28/2027 12:00:00 AM,0001 ANNELIESEDITSY EGRET,340,0,0,0,0
202701,LVS,GLD5,00AD0_H127,1.1200,1000662270,1/28/2027 12:00:00 AM,0001 ANNELIESEDITSY EGRET,430,0,0,0,0
202612,LVS,GLD5,00AD0_H127,1.1200,2100255368,12/31/2026 12:00:00 AM,0001 ANNELIESEDITSY EGRET,310,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,9500007861,10/20/2026 12:00:00 AM,0005 SNOW HEATHER,324,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,2100241046,10/22/2026 12:00:00 AM,0005 SNOW HEATHER,887,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,1000655006,10/22/2026 12:00:00 AM,0005 SNOW HEATHER,1365,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,1000655007,10/22/2026 12:00:00 AM,0005 SNOW HEATHER,335,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,9500007860,10/22/2026 12:00:00 AM,0005 SNOW HEATHER,470,0,0,0,0
202610,LVS,GLD5,00AD0_H127,1.1200,2500074460,10/29/2026 12:00:00 AM,0005 SNOW HEATHER,300,0,0,0,0
202611,LVS,GLD5,00AD0_H127,1.1200,2100246035,11/19/2026 12:00:00 AM,0005 SNOW HEATHER,765,0,0,0,0
