DELIVERY SCHEDULE ON AGUSTUS 2026,,,,,,,,,, ,,,
Actual Exp Date,ORG DELVY,BUYER,MAKER,SHIPER,STYLE,BUYER PO.,Order QTY,SHIP MODE,% OVER/SHORT,PPIC,,,
,,,,,,,,,,Plan Exp QTY (PC),QTY CTN ,Bal -Order,QTY (DZ)
2024-12-30,2024-12-23,KOH,GLD1,GLD,MX43A401_SP25,15489601,1190,SEA,0,1190,119,0,99.166667
2024-12-30,2024-12-23,KOH,GLD1,GLD,WX34A505_SP25,15347309,704,SEA,0,704,88,0,58.666667
2024-12-30,2024-12-23,KOH,GLD1,GLD,WX34A505_SP25,15361466,12,SEA,0,12,2,0,1
2024-12-30,2024-12-23,KOH,GLD1,GLD,WX43A519_SP25,15347755,1620,SEA,0.014815,1644,274,24,137
2024-12-30,2024-12-23,KOH,GLD1,GLD,WX43A519_SP25,15361713,12,SEA,0,12,2,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_F004,1932,SEA,0,1932,161,0,161
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_F005,3876,SEA,0,3876,323,0,323
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_F006,1296,SEA,0,1296,108,0,108
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_I004,3330,SEA,0,3330,185,0,277.5
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_I005,3330,SEA,0,3330,185,0,277.5
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_I006,3330,SEA,0,3330,185,0,277.5
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_N022,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_N023,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_N024,12,SEA,0,12,1,0,1
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_N025,24,SEA,0,24,2,0,2
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_N026,36,SEA,0,36,3,0,3
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_N027,48,SEA,0,48,4,0,4
2025-01-02,2024-12-18,G.U,GLD1,GLD,60125N006A,T_N028,252,SEA,0,252,21,0,21
